,rank,id,form-id,name,form,alias,move,move-rate,nature,nature-rate,ability,ability-rate,item,item-rate,terastal,terastal-rate
0987-000,1,987,0,ハバタクカミ,,ハバタクカミ,"['ムーンフォース', 'シャドーボール', 'マジカルフレイム', 'サイコショック', 'ほろびのうた', 'パワージェム', 'めいそう', 'エナジーボール', 'みがわり', '１０まんボルト']","[94.0, 92.6, 67.1, 40.9, 22.9, 14.3, 7.9, 7.7, 7.7, 5.7]","['おくびょう', 'ひかえめ', 'ずぶとい', 'せっかち', 'おだやか', 'おっとり', 'むじゃき', 'ようき', 'てれや', 'まじめ']","[74.6, 20.9, 2.4, 0.3, 0.3, 0.2, 0.2, 0.1, 0.1, 0.1]",['こだいかっせい'],[100.0],"['ブーストエナジー', 'こだわりメガネ', 'きあいのタスキ', 'こだわりスカーフ', 'いのちのたま', 'とつげきチョッキ', 'たべのこし', 'ものしりメガネ', 'たつじんのおび', 'オボンのみ']","[32.8, 32.8, 15.7, 13.1, 2.7, 1.2, 0.3, 0.2, 0.2, 0.2]","['フェアリー', 'ほのお', 'ノーマル', 'ゴースト', 'はがね', 'かくとう', 'みず', 'じめん', 'でんき', 'くさ']","[59.3, 14.7, 10.8, 8.9, 2.2, 1.1, 1.1, 0.9, 0.5, 0.2]"
0998-000,2,998,0,セグレイブ,,セグレイブ,"['こおりのつぶて', 'つららばり', 'じしん', 'きょけんとつげき', 'りゅうのまい', 'テラバースト', 'つるぎのまい', 'つららおとし', 'アイアンヘッド', 'みがわり']","[90.3, 84.6, 84.0, 78.5, 21.3, 20.0, 7.4, 4.9, 2.5, 1.5]","['いじっぱり', 'ようき', 'しんちょう', 'わんぱく', 'やんちゃ', 'むじゃき', 'ゆうかん', 'さみしがり', 'まじめ', 'きまぐれ']","[70.2, 26.3, 0.4, 0.4, 0.3, 0.3, 0.2, 0.2, 0.1, 0.1]","['ねつこうかん', 'アイスボディ']","[99.1, 0.9]","['とつげきチョッキ', 'いかさまダイス', 'きあいのタスキ', 'いのちのたま', 'こだわりハチマキ', 'こだわりスカーフ', 'ラムのみ', 'とけないこおり', 'じゃくてんほけん', 'たべのこし']","[42.1, 25.7, 10.5, 10.0, 8.0, 1.3, 0.5, 0.4, 0.3, 0.3]","['じめん', 'でんき', 'こおり', 'ほのお', 'ドラゴン', 'はがね', 'フェアリー', 'みず', 'どく', 'ゴースト']","[47.7, 19.1, 11.9, 7.4, 5.3, 3.1, 1.6, 0.9, 0.8, 0.7]"
0149-000,3,149,0,カイリュー,,カイリュー,"['じしん', 'しんそく', 'はねやすめ', 'りゅうのまい', 'げきりん', 'テラバースト', 'アンコール', 'ほのおのパンチ', 'ほのおのうず', 'ドラゴンテール']","[71.5, 68.8, 58.3, 49.9, 25.2, 19.6, 17.3, 16.8, 11.0, 9.4]","['いじっぱり', 'わんぱく', 'ようき', 'ずぶとい', 'ひかえめ', 'ゆうかん', 'しんちょう', 'やんちゃ', 'おくびょう', 'れいせい']","[59.5, 20.0, 8.8, 4.6, 1.4, 1.0, 0.8, 0.6, 0.4, 0.3]","['マルチスケイル', 'せいしんりょく']","[99.1, 0.9]","['ゴツゴツメット', 'こだわりハチマキ', 'ラムのみ', 'たべのこし', 'するどいくちばし', 'あつぞこブーツ', 'じゃくてんほけん', 'おんみつマント', 'とつげきチョッキ', 'いのちのたま']","[30.4, 16.5, 16.4, 13.3, 5.7, 4.9, 4.2, 1.6, 1.2, 1.1]","['ノーマル', 'ひこう', 'フェアリー', 'はがね', 'ほのお', 'みず', 'でんき', 'ドラゴン', 'どく', 'こおり']","[51.3, 21.8, 10.3, 9.1, 3.3, 2.4, 0.5, 0.4, 0.3, 0.3]"
1000-000,4,1000,0,サーフゴー,,サーフゴー,"['ゴールドラッシュ', 'シャドーボール', 'わるだくみ', 'じこさいせい', 'トリック', 'きあいだま', 'サイコショック', '１０まんボルト', 'テラバースト', 'みがわり']","[92.9, 90.0, 50.8, 47.1, 39.7, 16.4, 11.2, 9.0, 8.7, 8.4]","['おくびょう', 'ひかえめ', 'ずぶとい', 'おだやか', 'れいせい', 'すなお', 'むじゃき', 'おっとり', 'がんばりや', 'きまぐれ']","[42.1, 39.8, 15.3, 1.0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",['おうごんのからだ'],[100.0],"['こだわりスカーフ', 'おんみつマント', 'こだわりメガネ', 'ふうせん', 'ゴツゴツメット', 'たべのこし', 'じゃくてんほけん', 'とつげきチョッキ', 'いのちのたま', 'きあいのタスキ']","[40.4, 31.1, 7.5, 5.7, 3.7, 2.5, 2.3, 1.5, 1.3, 1.2]","['ひこう', 'ノーマル', 'ゴースト', 'かくとう', 'はがね', 'みず', 'あく', 'フェアリー', 'じめん', 'いわ']","[38.9, 18.4, 16.3, 10.1, 8.0, 3.4, 2.3, 1.3, 0.4, 0.2]"
0994-000,5,994,0,テツノドクガ,,テツノドクガ,"['ほのおのまい', 'ヘドロウェーブ', 'エナジーボール', 'オーバーヒート', 'マジカルシャイン', 'とんぼがえり', 'ほうでん', 'アシッドボム', 'どくびし', 'サイコキネシス']","[88.3, 86.1, 56.7, 42.7, 31.0, 22.5, 10.5, 9.8, 8.3, 7.7]","['おくびょう', 'ひかえめ', 'おだやか', 'ようき', 'ずぶとい', 'おっとり', 'せっかち', 'むじゃき', 'うっかりや', 'がんばりや']","[65.0, 26.4, 4.0, 1.9, 1.0, 0.2, 0.2, 0.2, 0.1, 0.1]",['クォークチャージ'],[100.0],"['こだわりメガネ', 'ブーストエナジー', 'とつげきチョッキ', 'こだわりスカーフ', 'おんみつマント', 'きあいのタスキ', 'いのちのたま', 'ふうせん', 'くろいヘドロ', 'だっしゅつパック']","[36.6, 36.5, 11.4, 4.1, 2.8, 2.0, 1.6, 1.1, 0.9, 0.4]","['くさ', 'ほのお', 'みず', 'どく', 'フェアリー', 'ひこう', 'ノーマル', 'じめん', 'こおり', 'あく']","[45.5, 28.7, 8.2, 7.1, 4.1, 1.8, 1.5, 1.0, 0.7, 0.4]"
0991-000,6,991,0,テツノツツミ,,テツノツツミ,"['フリーズドライ', 'ハイドロポンプ', 'クイックターン', 'アンコール', 'れいとうビーム', 'みがわり', 'テラバースト', 'ちょうはつ', 'エレキフィールド', 'ひやみず']","[99.1, 96.4, 49.7, 45.7, 42.4, 31.6, 12.4, 8.9, 4.1, 1.7]","['おくびょう', 'ひかえめ', 'むじゃき', 'ずぶとい', 'うっかりや', 'せっかち', 'ようき', 'おっとり', 'おだやか', 'きまぐれ']","[81.2, 14.0, 2.0, 0.5, 0.3, 0.2, 0.2, 0.2, 0.2, 0.1]",['クォークチャージ'],[100.0],"['ブーストエナジー', 'こだわりメガネ', 'きあいのタスキ', 'いのちのたま', 'たべのこし', 'たつじんのおび', 'こだわりスカーフ', 'ひかりのねんど', 'こうかくレンズ', 'とけないこおり']","[39.1, 33.5, 12.7, 6.8, 1.9, 0.9, 0.9, 0.8, 0.5, 0.4]","['みず', 'こおり', 'じめん', 'はがね', 'ゴースト', 'かくとう', 'ほのお', 'フェアリー', 'どく', 'でんき']","[64.6, 17.6, 6.2, 3.5, 2.8, 2.1, 1.7, 0.5, 0.4, 0.2]"
0983-000,7,983,0,ドドゲザン,,ドドゲザン,"['ドゲザン', 'ふいうち', 'アイアンヘッド', 'ハサミギロチン', 'つるぎのまい', 'かわらわり', 'ステルスロック', 'けたぐり', 'テラバースト', 'みがわり']","[96.2, 96.0, 78.1, 34.8, 31.1, 18.8, 11.0, 10.6, 7.2, 5.1]","['いじっぱり', 'しんちょう', 'ゆうかん', 'わんぱく', 'ようき', 'のんき', 'なまいき', 'すなお', 'やんちゃ', 'がんばりや']","[87.9, 3.5, 2.7, 2.2, 1.1, 0.3, 0.3, 0.2, 0.2, 0.2]","['そうだいしょう', 'まけんき', 'プレッシャー']","[73.2, 24.5, 2.3]","['とつげきチョッキ', 'くろいメガネ', 'オボンのみ', 'いのちのたま', 'おんみつマント', 'ラムのみ', 'たべのこし', 'きあいのタスキ', 'じゃくてんほけん', 'ヨプのみ']","[46.1, 31.0, 5.5, 3.4, 2.2, 1.9, 1.7, 1.6, 1.3, 1.3]","['あく', 'ひこう', 'フェアリー', 'ゴースト', 'みず', 'はがね', 'ほのお', 'かくとう', 'どく', 'くさ']","[66.2, 17.0, 7.6, 2.0, 2.0, 1.4, 0.7, 0.6, 0.5, 0.5]"
0977-000,8,977,0,ヘイラッシャ,,ヘイラッシャ,"['ウェーブタックル', 'あくび', 'じわれ', 'まもる', 'ゆきなだれ', 'ねむる', 'じしん', 'ねごと', 'アクアブレイク', 'ヘビーボンバー']","[73.7, 72.6, 66.2, 54.5, 24.1, 23.5, 20.7, 17.5, 14.6, 7.4]","['わんぱく', 'いじっぱり', 'しんちょう', 'のんき', 'なまいき', 'ずぶとい', 'ゆうかん', 'のうてんき', 'がんばりや', 'ようき']","[72.7, 13.8, 7.2, 2.0, 0.7, 0.6, 0.6, 0.2, 0.2, 0.2]","['てんねん', 'どんかん', 'みずのベール']","[98.6, 0.7, 0.7]","['たべのこし', 'ゴツゴツメット', 'オボンのみ', 'とつげきチョッキ', 'おんみつマント', 'カゴのみ', 'こだわりハチマキ', 'ラムのみ', 'フォーカスレンズ', 'せんせいのツメ']","[65.9, 14.6, 6.7, 5.0, 2.4, 2.0, 1.8, 0.4, 0.1, 0.1]","['くさ', 'フェアリー', 'じめん', 'みず', 'はがね', 'ドラゴン', 'あく', 'ほのお', 'どく', 'ひこう']","[29.6, 20.2, 11.6, 9.9, 4.9, 4.1, 3.8, 3.1, 2.9, 2.3]"
0979-000,9,979,0,コノヨザル,,コノヨザル,"['ふんどのこぶし', 'ドレインパンチ', 'ビルドアップ', 'ちょうはつ', 'ステルスロック', 'いのちがけ', 'じならし', 'インファイト', 'アンコール', 'がんせきふうじ']","[97.1, 69.0, 56.5, 49.8, 32.0, 26.5, 15.6, 12.3, 7.7, 7.1]","['ようき', 'いじっぱり', 'わんぱく', 'しんちょう', 'むじゃき', 'のんき', 'やんちゃ', 'まじめ', 'がんばりや', 'のうてんき']","[65.3, 17.3, 7.8, 6.4, 0.3, 0.2, 0.2, 0.2, 0.2, 0.2]","['やるき', 'まけんき', 'せいしんりょく']","[76.1, 22.1, 1.8]","['たべのこし', 'きあいのタスキ', 'オボンのみ', 'おんみつマント', 'こだわりスカーフ', 'パンチグローブ', 'でんきだま', 'とつげきチョッキ', 'ものまねハーブ', 'ロゼルのみ']","[26.1, 24.5, 14.5, 10.0, 7.0, 4.3, 3.4, 2.8, 1.8, 1.1]","['ほのお', 'どく', 'はがね', 'ノーマル', 'ひこう', 'かくとう', 'みず', 'フェアリー', 'ゴースト', 'あく']","[32.8, 18.9, 15.1, 13.1, 6.4, 4.3, 2.6, 2.4, 1.5, 0.7]"
0908-000,10,908,0,マスカーニャ,,マスカーニャ,"['トリックフラワー', 'はたきおとす', 'ふいうち', 'とんぼがえり', 'じゃれつく', 'どくびし', 'けたぐり', 'トリック', 'ちょうはつ', 'イカサマ']","[90.0, 87.0, 55.8, 36.7, 33.5, 26.8, 23.9, 13.1, 7.0, 4.2]","['ようき', 'いじっぱり', 'わんぱく', 'むじゃき', 'せっかち', 'おくびょう', 'やんちゃ', 'ひかえめ', 'さみしがり', 'しんちょう']","[52.3, 43.2, 0.8, 0.6, 0.5, 0.4, 0.4, 0.3, 0.2, 0.2]","['へんげんじざい', 'しんりょく']","[62.0, 38.0]","['きあいのタスキ', 'こだわりスカーフ', 'こだわりハチマキ', 'いのちのたま', 'でんきだま', 'たべのこし', 'チイラのみ', 'とつげきチョッキ', 'たつじんのおび', 'ちからのハチマキ']","[54.7, 20.7, 15.1, 2.6, 1.3, 0.8, 0.6, 0.5, 0.5, 0.5]","['くさ', 'あく', 'ほのお', 'フェアリー', 'はがね', 'こおり', 'みず', 'どく', 'ゴースト', 'かくとう']","[49.7, 37.1, 4.0, 2.0, 1.4, 1.3, 1.2, 0.9, 0.9, 0.6]"
