,rank,id,form-id,name,form,alias,move,move-rate,ability,ability-rate,item,item-rate,terastal,terastal-rate
0987-000,1,987,0,ハバタクカミ,,ハバタクカミ,"['シャドーボール', 'ムーンフォース', 'マジカルフレイム', 'サイコショック', 'パワージェム', 'でんじは', 'ちょうはつ', 'エナジーボール', '１０まんボルト', 'みがわり']","[92.9, 91.0, 77.4, 39.6, 11.9, 10.6, 8.8, 8.6, 8.3, 8.1]",['こだいかっせい'],[100.0],"['こだわりメガネ', 'きあいのタスキ', 'ブーストエナジー', 'こだわりスカーフ', 'いのちのたま', 'とつげきチョッキ', 'たべのこし', 'たつじんのおび', 'オボンのみ', 'ものしりメガネ']","[35.0, 28.3, 24.7, 4.5, 2.9, 2.2, 0.5, 0.3, 0.3, 0.2]","['フェアリー', 'ノーマル', 'ほのお', 'ゴースト', 'かくとう', 'はがね', 'じめん', 'みず', 'でんき', 'あく']","[49.7, 16.9, 15.5, 11.2, 2.4, 1.5, 0.7, 0.7, 0.6, 0.2]"
0149-000,2,149,0,カイリュー,,カイリュー,"['しんそく', 'じしん', 'りゅうのまい', 'はねやすめ', 'げきりん', 'テラバースト', 'ほのおのパンチ', 'アンコール', 'アイアンヘッド', 'アクアジェット']","[80.2, 71.2, 48.3, 44.0, 38.0, 23.4, 21.5, 17.3, 8.9, 7.6]","['マルチスケイル', 'せいしんりょく']","[99.0, 1.0]","['こだわりハチマキ', 'ゴツゴツメット', 'ラムのみ', 'あつぞこブーツ', 'するどいくちばし', 'たべのこし', 'じゃくてんほけん', 'シルクのスカーフ', 'いのちのたま', 'おんみつマント']","[30.3, 24.4, 11.5, 7.5, 7.0, 6.6, 4.5, 1.6, 1.4, 0.8]","['ノーマル', 'ひこう', 'はがね', 'フェアリー', 'ほのお', 'みず', 'ドラゴン', 'でんき', 'じめん', 'どく']","[56.0, 29.5, 5.9, 4.8, 1.3, 0.8, 0.4, 0.4, 0.2, 0.2]"
1000-000,3,1000,0,サーフゴー,,サーフゴー,"['ゴールドラッシュ', 'シャドーボール', 'わるだくみ', 'じこさいせい', 'トリック', 'きあいだま', 'でんじは', 'テラバースト', 'みがわり', 'たたりめ']","[89.4, 88.5, 49.5, 48.1, 37.3, 20.0, 11.3, 8.8, 8.4, 8.1]",['おうごんのからだ'],[100.0],"['こだわりスカーフ', 'おんみつマント', 'ゴツゴツメット', 'じゃくてんほけん', 'ふうせん', 'こだわりメガネ', 'たべのこし', 'とつげきチョッキ', 'いのちのたま', 'きあいのタスキ']","[36.0, 27.5, 7.3, 7.0, 6.5, 6.4, 3.3, 1.5, 1.2, 0.7]","['ひこう', 'ノーマル', 'ゴースト', 'かくとう', 'あく', 'はがね', 'みず', 'フェアリー', 'こおり', 'いわ']","[41.7, 20.1, 13.1, 10.8, 6.2, 4.7, 1.3, 1.0, 0.3, 0.3]"
0998-000,4,998,0,セグレイブ,,セグレイブ,"['つららばり', 'こおりのつぶて', 'じしん', 'きょけんとつげき', 'りゅうのまい', 'テラバースト', 'つららおとし', 'アイアンヘッド', 'つるぎのまい', 'かわらわり']","[90.9, 89.8, 88.6, 70.5, 27.1, 19.1, 4.2, 2.3, 2.2, 1.2]","['ねつこうかん', 'アイスボディ']","[99.1, 0.9]","['とつげきチョッキ', 'いかさまダイス', 'きあいのタスキ', 'いのちのたま', 'こだわりハチマキ', 'こだわりスカーフ', 'ラムのみ', 'とけないこおり', 'じゃくてんほけん', 'オボンのみ']","[52.0, 32.4, 6.8, 2.9, 2.5, 0.8, 0.6, 0.4, 0.4, 0.2]","['じめん', 'でんき', 'こおり', 'ほのお', 'はがね', 'フェアリー', 'ドラゴン', 'どく', 'ゴースト', 'みず']","[58.4, 18.5, 8.5, 4.5, 3.3, 1.7, 1.6, 0.9, 0.7, 0.6]"
0994-000,5,994,0,テツノドクガ,,テツノドクガ,"['ほのおのまい', 'ヘドロウェーブ', 'エナジーボール', 'マジカルシャイン', 'オーバーヒート', 'ニトロチャージ', 'ほうでん', 'とんぼがえり', 'テラバースト', 'アシッドボム']","[89.1, 84.1, 58.6, 49.8, 30.6, 17.3, 17.2, 12.8, 10.4, 7.4]",['クォークチャージ'],[100.0],"['ブーストエナジー', 'こだわりメガネ', 'とつげきチョッキ', 'こだわりスカーフ', 'いのちのたま', 'きあいのタスキ', 'ふうせん', 'くろいヘドロ', 'たつじんのおび', 'だっしゅつパック']","[48.6, 29.0, 8.2, 5.6, 2.3, 1.8, 1.1, 0.7, 0.4, 0.4]","['くさ', 'ほのお', 'みず', 'どく', 'フェアリー', 'ひこう', 'こおり', 'ゴースト', 'じめん', 'あく']","[43.6, 26.2, 9.9, 7.1, 6.2, 2.5, 1.6, 0.9, 0.5, 0.4]"
0983-000,6,983,0,ドドゲザン,,ドドゲザン,"['ドゲザン', 'ふいうち', 'アイアンヘッド', 'かわらわり', 'つるぎのまい', 'ハサミギロチン', 'けたぐり', 'ステルスロック', 'テラバースト', 'でんじは']","[93.8, 92.0, 90.5, 27.9, 21.9, 20.1, 15.4, 11.8, 8.0, 7.0]","['そうだいしょう', 'まけんき', 'プレッシャー']","[72.0, 25.0, 3.0]","['とつげきチョッキ', 'くろいメガネ', 'オボンのみ', 'ヨプのみ', 'いのちのたま', 'たべのこし', 'ラムのみ', 'きあいのタスキ', 'じゃくてんほけん', 'ゴツゴツメット']","[51.8, 21.6, 6.4, 4.4, 3.6, 2.1, 1.8, 1.6, 1.1, 1.0]","['あく', 'ひこう', 'フェアリー', 'ゴースト', 'はがね', 'みず', 'ほのお', 'かくとう', 'どく', 'くさ']","[62.3, 16.1, 10.5, 2.6, 1.9, 1.7, 1.1, 0.9, 0.5, 0.5]"
0991-000,7,991,0,テツノツツミ,,テツノツツミ,"['フリーズドライ', 'ハイドロポンプ', 'クイックターン', 'アンコール', 'れいとうビーム', 'ちょうはつ', 'みがわり', 'テラバースト', 'エレキフィールド', 'うずしお']","[96.9, 92.2, 57.6, 47.9, 34.8, 18.1, 13.9, 13.8, 6.2, 4.5]",['クォークチャージ'],[100.0],"['きあいのタスキ', 'ブーストエナジー', 'こだわりメガネ', 'いのちのたま', 'たべのこし', 'たつじんのおび', 'こだわりスカーフ', 'ものまねハーブ', 'とつげきチョッキ', 'こうかくレンズ']","[30.0, 26.6, 18.0, 8.6, 5.1, 2.4, 2.4, 1.1, 0.7, 0.6]","['みず', 'こおり', 'じめん', 'ゴースト', 'かくとう', 'ほのお', 'はがね', 'フェアリー', 'どく', 'でんき']","[40.8, 30.0, 8.0, 7.7, 4.6, 3.1, 2.4, 1.4, 0.6, 0.5]"
0778-000,8,778,0,ミミッキュ,,ミミッキュ,"['じゃれつく', 'かげうち', 'つるぎのまい', 'シャドークロー', 'ドレインパンチ', 'のろい', 'いたみわけ', 'みがわり', 'みちづれ', 'トリック']","[91.4, 87.8, 69.6, 57.6, 26.3, 17.6, 7.6, 7.2, 5.0, 4.6]",['ばけのかわ'],[100.0],"['いのちのたま', 'こだわりスカーフ', 'のろいのおふだ', 'ひかりのこな', 'ラムのみ', 'フィラのみ', 'レッドカード', 'カムラのみ', 'ゴツゴツメット', 'きあいのタスキ']","[73.3, 4.6, 2.5, 2.1, 1.6, 1.5, 1.2, 1.2, 1.1, 1.1]","['ゴースト', 'フェアリー', 'かくとう', 'ノーマル', 'ほのお', 'はがね', 'くさ', 'あく', 'みず', 'ひこう']","[37.4, 26.3, 16.7, 7.8, 5.1, 2.0, 1.2, 0.6, 0.6, 0.5]"
0977-000,9,977,0,ヘイラッシャ,,ヘイラッシャ,"['あくび', 'ウェーブタックル', 'じわれ', 'まもる', 'ゆきなだれ', 'ねむる', 'じしん', 'ねごと', 'アクアブレイク', 'ボディプレス']","[70.7, 70.3, 54.4, 49.7, 33.6, 26.1, 24.1, 18.8, 16.8, 9.5]","['てんねん', 'みずのベール', 'どんかん']","[98.5, 0.8, 0.7]","['たべのこし', 'ゴツゴツメット', 'オボンのみ', 'とつげきチョッキ', 'カゴのみ', 'おんみつマント', 'こだわりハチマキ', 'ラムのみ', 'せんせいのツメ', 'フィラのみ']","[64.3, 15.2, 7.6, 4.9, 2.6, 2.0, 1.9, 0.4, 0.1, 0.1]","['くさ', 'フェアリー', 'じめん', 'みず', 'はがね', 'ドラゴン', 'ほのお', 'ひこう', 'でんき', 'ノーマル']","[30.1, 21.9, 14.1, 9.4, 5.2, 3.9, 2.2, 2.1, 2.1, 2.0]"
0479-002,10,479,2,ロトム,ウォッシュロトム,ウォッシュロトム,"['ハイドロポンプ', 'ボルトチェンジ', 'トリック', 'テラバースト', 'おにび', '１０まんボルト', 'ほうでん', 'イカサマ', 'でんじは', 'シャドーボール']","[91.8, 90.5, 50.9, 33.1, 28.4, 25.2, 23.6, 22.3, 11.8, 6.8]",['ふゆう'],[100.0],"['こだわりメガネ', 'オボンのみ', 'こだわりスカーフ', 'とつげきチョッキ', 'たべのこし', 'ゴツゴツメット', 'おんみつマント', 'ひかりのねんど', 'こうかくレンズ', 'たつじんのおび']","[35.9, 26.6, 18.3, 8.8, 2.8, 1.6, 1.3, 0.7, 0.7, 0.6]","['フェアリー', 'はがね', 'でんき', 'ゴースト', 'こおり', 'ほのお', 'どく', 'くさ', 'みず', 'かくとう']","[44.6, 24.1, 13.4, 7.2, 2.6, 2.5, 1.3, 1.1, 0.8, 0.7]"
