,rank,id,form-id,name,form,alias,move,move-rate,nature,nature-rate,ability,ability-rate,item,item-rate,terastal,terastal-rate
0898-002,1,898,2,バドレックス,こくばじょうのすがた,バドレックス(こくば),"['アストラルビット', 'サイコキネシス', 'くさむすび', 'アンコール', 'ドレインキッス', 'サイコショック', 'トリック', 'わるだくみ', 'テラバースト', 'ギガドレイン']","[99.0, 37.5, 33.4, 32.0, 29.7, 29.3, 26.2, 24.3, 19.1, 11.1]","['おくびょう', 'ひかえめ', 'せっかち', 'むじゃき', 'ずぶとい', 'おだやか', 'おっとり', 'れいせい', 'いじっぱり', 'まじめ']","[91.9, 6.9, 0.2, 0.2, 0.2, 0.1, 0.1, 0.1, 0.1, 0.0]",['じんばいったい'],[100.0],"['きあいのタスキ', 'こだわりスカーフ', 'こだわりメガネ', 'たべのこし', 'いのちのたま', 'オボンのみ', 'ラムのみ', 'のろいのおふだ', 'ひかりのねんど', 'しろいハーブ']","[30.1, 23.4, 21.4, 8.3, 5.2, 2.3, 2.0, 1.9, 1.4, 1.0]","['フェアリー', 'ノーマル', 'くさ', 'ゴースト', 'かくとう', 'じめん', 'あく', 'みず', 'ステラ', 'ほのお']","[47.6, 14.0, 12.7, 11.9, 5.9, 2.9, 1.2, 1.2, 1.0, 0.5]"
1002-000,2,1002,0,パオジアン,,パオジアン,"['つららおとし', 'ふいうち', 'こおりのつぶて', 'つるぎのまい', 'せいなるつるぎ', 'かみくだく', 'テラバースト', 'ぜったいれいど', 'かわらわり', 'ちょうはつ']","[90.0, 77.9, 56.4, 45.4, 34.0, 32.5, 26.7, 16.5, 4.8, 3.8]","['いじっぱり', 'ようき', 'せっかち', 'むじゃき', 'わんぱく', 'やんちゃ', 'さみしがり', 'しんちょう', 'まじめ', 'がんばりや']","[57.4, 40.4, 0.4, 0.3, 0.2, 0.2, 0.2, 0.1, 0.1, 0.1]",['わざわいのつるぎ'],[100.0],"['きあいのタスキ', 'いのちのたま', 'こだわりハチマキ', 'とけないこおり', 'くろいメガネ', 'こだわりスカーフ', 'とつげきチョッキ', 'つららのプレート', 'オボンのみ', 'ラムのみ']","[66.8, 13.3, 5.5, 5.2, 4.8, 0.8, 0.7, 0.5, 0.4, 0.3]","['でんき', 'ほのお', 'ステラ', 'こおり', 'あく', 'じめん', 'ゴースト', 'フェアリー', 'ノーマル', 'くさ']","[35.9, 17.3, 15.6, 10.1, 10.1, 4.0, 3.3, 1.0, 0.8, 0.5]"
1003-000,3,1003,0,ディンルー,,ディンルー,"['じしん', 'カタストロフィ', 'ステルスロック', 'ふきとばし', 'しっぺがえし', 'ヘビーボンバー', 'じわれ', 'まきびし', 'テラバースト', 'がんせきふうじ']","[84.5, 63.0, 53.8, 50.7, 31.6, 27.0, 24.0, 24.0, 11.6, 7.3]","['いじっぱり', 'わんぱく', 'しんちょう', 'なまいき', 'ゆうかん', 'のんき', 'ずぶとい', 'おだやか', 'きまぐれ', 'ようき']","[37.8, 31.3, 25.7, 1.4, 1.0, 0.8, 0.6, 0.4, 0.1, 0.1]",['わざわいのうつわ'],[100.0],"['とつげきチョッキ', 'オボンのみ', 'たべのこし', 'ゴツゴツメット', 'こだわりハチマキ', 'おんみつマント', 'フィラのみ', 'じゃくてんほけん', 'メンタルハーブ', 'レッドカード']","[44.0, 43.1, 6.3, 2.6, 2.1, 0.3, 0.3, 0.3, 0.2, 0.2]","['どく', 'ほのお', 'フェアリー', 'はがね', 'みず', 'くさ', 'じめん', 'でんき', 'ひこう', 'あく']","[35.9, 19.4, 18.4, 17.3, 4.0, 2.5, 0.9, 0.7, 0.3, 0.3]"
1007-000,4,1007,0,コライドン,,コライドン,"['フレアドライブ', 'とんぼがえり', 'げきりん', 'インファイト', 'スケイルショット', 'ニトロチャージ', 'アクセルブレイク', 'つるぎのまい', 'ドレインパンチ', 'アイアンヘッド']","[76.8, 52.8, 47.2, 41.9, 33.7, 29.0, 25.5, 23.1, 18.9, 10.1]","['ようき', 'いじっぱり', 'しんちょう', 'きまぐれ', 'わんぱく', 'むじゃき', 'ゆうかん', 'やんちゃ', 'せっかち', 'おくびょう']","[49.9, 48.8, 0.4, 0.3, 0.2, 0.1, 0.1, 0.0, 0.0, 0.0]",['ひひいろのこどう'],[100.0],"['こだわりスカーフ', 'いかさまダイス', 'こだわりハチマキ', 'とつげきチョッキ', 'いのちのたま', 'オボンのみ', 'ラムのみ', 'たべのこし', 'きあいのタスキ', 'メンタルハーブ']","[35.9, 27.8, 14.2, 9.1, 4.4, 2.0, 1.4, 1.3, 0.7, 0.5]","['ほのお', 'でんき', 'はがね', 'フェアリー', 'ドラゴン', 'ノーマル', 'かくとう', 'どく', 'じめん', 'ステラ']","[73.3, 8.5, 8.4, 5.5, 1.4, 1.2, 1.0, 0.1, 0.1, 0.1]"
1008-000,5,1008,0,ミライドン,,ミライドン,"['イナズマドライブ', 'りゅうせいぐん', 'ボルトチェンジ', 'マジカルシャイン', 'テラバースト', 'オーバーヒート', 'パラボラチャージ', 'とんぼがえり', 'りゅうのはどう', 'ミラーコート']","[93.4, 79.3, 54.8, 38.0, 29.3, 19.6, 19.5, 17.4, 10.4, 9.5]","['ひかえめ', 'おくびょう', 'おだやか', 'ずぶとい', 'きまぐれ', 'うっかりや', 'おっとり', 'せっかち', 'まじめ', 'むじゃき']","[58.8, 38.6, 1.2, 0.4, 0.3, 0.2, 0.1, 0.1, 0.1, 0.1]",['ハドロンエンジン'],[100.0],"['とつげきチョッキ', 'こだわりスカーフ', 'こだわりメガネ', 'エレキシード', 'だっしゅつパック', 'いのちのたま', 'きあいのタスキ', 'じゃくてんほけん', 'ひかりのねんど', 'じしゃく']","[29.3, 26.8, 21.9, 7.2, 5.2, 2.7, 1.1, 1.1, 1.0, 0.9]","['フェアリー', 'でんき', 'こおり', 'みず', 'ほのお', 'ノーマル', 'じめん', 'はがね', 'ひこう', 'ドラゴン']","[38.6, 24.1, 15.7, 13.9, 2.9, 2.2, 0.6, 0.5, 0.4, 0.3]"
0977-000,6,977,0,ヘイラッシャ,,ヘイラッシャ,"['ねむる', 'ウェーブタックル', 'まもる', 'あくび', 'じわれ', 'ゆきなだれ', 'じしん', 'ねごと', 'のろい', 'アクアブレイク']","[69.7, 69.4, 67.7, 66.7, 59.1, 14.0, 13.5, 11.4, 6.1, 6.1]","['わんぱく', 'のんき', 'ずぶとい', 'しんちょう', 'いじっぱり', 'なまいき', 'ゆうかん', 'のうてんき', 'すなお', 'おだやか']","[89.8, 3.3, 1.9, 1.8, 1.5, 0.2, 0.2, 0.2, 0.1, 0.1]","['てんねん', 'どんかん', 'みずのベール']","[99.1, 0.7, 0.3]","['たべのこし', 'ゴツゴツメット', 'オボンのみ', 'カゴのみ', 'おんみつマント', 'とくせいガード', 'こだわりハチマキ', 'とつげきチョッキ', 'ラムのみ', 'せんせいのツメ']","[69.0, 26.3, 1.2, 0.8, 0.7, 0.4, 0.4, 0.3, 0.3, 0.2]","['フェアリー', 'ほのお', 'ノーマル', 'はがね', 'じめん', 'くさ', 'ゴースト', 'どく', 'でんき', 'あく']","[51.0, 11.0, 10.2, 8.0, 6.1, 5.0, 2.7, 1.4, 1.3, 1.2]"
0892-001,7,892,1,ウーラオス,れんげきのかた,ウーラオス(れんげき),"['すいりゅうれんだ', 'アクアジェット', 'インファイト', 'とんぼがえり', 'つるぎのまい', 'みがわり', 'アイススピナー', 'きあいパンチ', 'ドレインパンチ', 'からげんき']","[99.9, 86.0, 74.1, 36.2, 16.4, 16.0, 14.7, 13.8, 11.6, 8.8]","['いじっぱり', 'ようき', 'わんぱく', 'ゆうかん', 'しんちょう', 'むじゃき', 'やんちゃ', 'さみしがり', 'せっかち', 'うっかりや']","[85.8, 9.0, 2.8, 0.9, 0.2, 0.2, 0.2, 0.1, 0.1, 0.1]",['ふかしのこぶし'],[100.0],"['こだわりハチマキ', 'きあいのタスキ', 'パンチグローブ', 'こだわりスカーフ', 'しんぴのしずく', 'ゴツゴツメット', 'おんみつマント', 'いのちのたま', 'とつげきチョッキ', 'しずくプレート']","[37.3, 18.8, 17.9, 12.5, 6.4, 1.7, 1.2, 0.9, 0.6, 0.5]","['みず', 'ノーマル', 'フェアリー', 'ステラ', 'じめん', 'はがね', 'どく', 'かくとう', 'あく', 'ほのお']","[61.3, 15.4, 7.8, 4.7, 2.4, 1.7, 1.6, 1.6, 1.1, 1.1]"
0987-000,8,987,0,ハバタクカミ,,ハバタクカミ,"['ムーンフォース', 'シャドーボール', 'でんじは', 'ちょうはつ', 'たたりめ', 'パワージェム', 'マジカルフレイム', 'いたみわけ', 'ほろびのうた', 'あまえる']","[94.7, 57.4, 44.0, 39.3, 28.5, 26.9, 21.0, 20.2, 9.9, 7.7]","['おくびょう', 'ずぶとい', 'ひかえめ', 'せっかち', 'ようき', 'おだやか', 'むじゃき', 'うっかりや', 'おっとり', 'れいせい']","[89.6, 5.9, 2.5, 0.6, 0.3, 0.2, 0.2, 0.1, 0.1, 0.1]",['こだいかっせい'],[100.0],"['きあいのタスキ', 'ブーストエナジー', 'こだわりメガネ', 'いのちのたま', 'こだわりスカーフ', 'ジャポのみ', 'おんみつマント', 'とつげきチョッキ', 'ゴツゴツメット', 'ふうせん']","[41.5, 32.4, 21.8, 1.3, 0.7, 0.5, 0.3, 0.2, 0.2, 0.2]","['フェアリー', 'ノーマル', 'ステラ', 'じめん', 'ほのお', 'みず', 'ゴースト', 'でんき', 'あく', 'いわ']","[38.5, 28.8, 10.3, 5.9, 4.2, 4.0, 2.3, 1.5, 1.5, 0.8]"
0645-001,9,645,1,ランドロス,れいじゅうフォルム,ランドロス(れいじゅう),"['じしん', 'とんぼがえり', 'ステルスロック', 'ちょうはつ', 'がんせきふうじ', 'いわなだれ', 'テラバースト', 'からげんき', 'かみくだく', 'ストーンエッジ']","[98.5, 92.7, 44.9, 33.1, 27.6, 22.0, 18.8, 12.1, 12.1, 7.1]","['いじっぱり', 'わんぱく', 'ようき', 'のんき', 'なまいき', 'しんちょう', 'ゆうかん', 'れいせい', 'すなお', 'さみしがり']","[34.5, 28.3, 13.0, 7.5, 5.5, 5.3, 4.9, 0.1, 0.1, 0.1]",['いかく'],[100.0],"['ゴツゴツメット', 'こだわりハチマキ', 'とつげきチョッキ', 'こだわりスカーフ', 'オボンのみ', 'きあいのタスキ', 'でんきだま', 'おんみつマント', 'たべのこし', 'いのちのたま']","[35.4, 23.8, 18.4, 9.2, 6.4, 2.7, 2.0, 0.5, 0.4, 0.3]","['みず', 'ノーマル', 'フェアリー', 'はがね', 'ひこう', 'ほのお', 'じめん', 'こおり', 'くさ', 'あく']","[29.1, 22.7, 17.5, 8.9, 8.6, 5.9, 2.8, 1.2, 1.1, 1.1]"
0888-000,10,888,0,ザシアン,れきせんのゆうしゃ,ザシアン(れきせん),"['アイアンヘッド', 'じゃれつく', 'くさわけ', 'つるぎのまい', 'テラバースト', 'インファイト', 'ワイルドボルト', 'でんこうせっか', 'せいなるつるぎ', 'かみくだく']","[98.8, 64.6, 61.2, 48.5, 47.7, 26.8, 18.0, 12.2, 7.1, 4.5]","['ようき', 'いじっぱり', 'さみしがり', 'わんぱく', 'むじゃき', 'おくびょう', 'せっかち', 'やんちゃ', 'しんちょう', 'てれや']","[56.7, 41.2, 0.3, 0.3, 0.2, 0.2, 0.2, 0.2, 0.1, 0.1]",['ふとうのけん'],[100.0],"['くちたけん', 'こだわりハチマキ', 'とつげきチョッキ', 'いのちのたま', 'たべのこし', 'おうじゃのしるし', 'こだわりスカーフ', 'ゴツゴツメット', 'きあいのタスキ', 'チーゴのみ']","[99.3, 0.3, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['じめん', 'みず', 'ノーマル', 'でんき', 'フェアリー', 'ステラ', 'いわ', 'かくとう', 'くさ', 'ほのお']","[28.7, 28.0, 18.0, 10.2, 4.8, 3.3, 1.9, 1.9, 0.8, 0.6]"
