,rank,id,form-id,name,form,alias,move,move-rate,nature,nature-rate,ability,ability-rate,item,item-rate,terastal,terastal-rate
0149-000,1,149,0,カイリュー,,カイリュー,"['じしん', 'しんそく', 'りゅうのまい', 'はねやすめ', 'アンコール', 'スケイルショット', 'けたぐり', 'げきりん', 'アイススピナー', 'テラバースト']","[75.8, 58.4, 55.1, 41.7, 35.6, 23.7, 17.5, 14.5, 13.7, 12.4]","['いじっぱり', 'ようき', 'ずぶとい', 'わんぱく', 'おだやか', 'しんちょう', 'ひかえめ', 'ゆうかん', 'おくびょう', 'やんちゃ']","[75.7, 7.7, 5.2, 3.8, 2.5, 2.0, 0.8, 0.4, 0.3, 0.2]","['マルチスケイル', 'せいしんりょく']","[99.7, 0.3]","['あつぞこブーツ', 'いかさまダイス', 'たべのこし', 'こだわりハチマキ', 'ラムのみ', 'とつげきチョッキ', 'ゴツゴツメット', 'おんみつマント', 'じゃくてんほけん', 'するどいくちばし']","[23.6, 21.2, 19.8, 12.6, 7.1, 3.8, 3.1, 2.8, 1.4, 1.1]","['ノーマル', 'ひこう', 'フェアリー', 'じめん', 'はがね', 'ほのお', 'でんき', 'みず', 'ドラゴン', 'どく']","[37.8, 16.4, 15.0, 14.2, 9.7, 3.3, 1.9, 0.6, 0.5, 0.2]"
0901-001,2,901,1,ガチグマ,アカツキ,ガチグマ(アカツキ),"['ブラッドムーン', 'だいちのちから', 'しんくうは', 'ハイパーボイス', 'つきのひかり', 'ムーンフォース', 'あくび', 'めいそう', 'テラバースト', 'ちょうはつ']","[98.0, 80.1, 78.1, 51.5, 25.1, 18.3, 17.9, 9.3, 6.6, 6.0]","['ひかえめ', 'ずぶとい', 'れいせい', 'おくびょう', 'がんばりや', 'おだやか', 'のんき', 'なまいき', 'のうてんき', 'やんちゃ']","[76.0, 10.5, 4.5, 4.5, 1.9, 1.8, 0.5, 0.1, 0.0, 0.0]",['しんがん'],[100.0],"['とつげきチョッキ', 'シルクのスカーフ', 'たべのこし', 'きあいのタスキ', 'オボンのみ', 'おんみつマント', 'いのちのたま', 'こだわりメガネ', 'のどスプレー', 'アッキのみ']","[50.6, 16.1, 13.3, 6.7, 4.0, 2.1, 1.6, 0.9, 0.8, 0.8]","['ノーマル', 'フェアリー', 'どく', 'ゴースト', 'みず', 'かくとう', 'でんき', 'ほのお', 'むし', 'ひこう']","[51.1, 26.5, 9.7, 7.5, 1.6, 1.4, 1.0, 0.6, 0.3, 0.2]"
1018-000,3,1018,0,ブリジュラス,,ブリジュラス,"['ラスターカノン', 'りゅうせいぐん', 'ボディプレス', '１０まんボルト', 'エレクトロビーム', 'ステルスロック', 'ほえる', 'あくのはどう', 'ドラゴンテール', 'でんじは']","[71.2, 54.7, 48.6, 43.1, 40.1, 36.7, 23.8, 17.6, 16.3, 7.6]","['おくびょう', 'ひかえめ', 'ずぶとい', 'わんぱく', 'おだやか', 'しんちょう', 'むじゃき', 'のんき', 'れいせい', 'なまいき']","[33.6, 26.0, 19.9, 6.7, 6.2, 3.8, 0.8, 0.6, 0.4, 0.4]","['じきゅうりょく', 'がんじょう', 'すじがねいり']","[55.8, 44.2, 0.0]","['パワフルハーブ', 'ふうせん', 'オボンのみ', 'たべのこし', 'こだわりメガネ', 'とつげきチョッキ', 'イバンのみ', 'こだわりスカーフ', 'レッドカード', 'フィラのみ']","[34.1, 16.2, 12.5, 8.7, 8.1, 5.2, 3.7, 2.7, 1.8, 1.0]","['ひこう', 'フェアリー', 'でんき', 'ステラ', 'むし', 'ドラゴン', 'かくとう', 'みず', 'ゴースト', 'あく']","[26.0, 20.3, 18.7, 10.2, 7.1, 5.8, 3.4, 3.0, 2.2, 1.3]"
1000-000,4,1000,0,サーフゴー,,サーフゴー,"['ゴールドラッシュ', 'シャドーボール', 'トリック', 'じこさいせい', 'わるだくみ', '１０まんボルト', 'きあいだま', 'サイコショック', 'みがわり', 'テラバースト']","[95.6, 94.6, 53.0, 51.9, 44.4, 13.0, 8.7, 7.9, 7.4, 5.3]","['ひかえめ', 'おくびょう', 'ずぶとい', 'おだやか', 'せっかち', 'おっとり', 'れいせい', 'すなお', 'まじめ', 'きまぐれ']","[56.2, 29.9, 11.0, 2.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.0]",['おうごんのからだ'],[100.0],"['こだわりスカーフ', 'こだわりメガネ', 'おんみつマント', 'ふうせん', 'ゴツゴツメット', 'メタルコート', 'とつげきチョッキ', 'たべのこし', 'せんせいのツメ', 'グラスシード']","[34.6, 25.7, 9.4, 6.5, 4.8, 4.6, 3.9, 2.7, 1.1, 1.0]","['ひこう', 'はがね', 'みず', 'かくとう', 'フェアリー', 'ノーマル', 'ゴースト', 'あく', 'こおり', 'でんき']","[40.9, 24.7, 13.3, 5.7, 4.9, 3.7, 3.4, 1.9, 0.5, 0.2]"
0908-000,5,908,0,マスカーニャ,,マスカーニャ,"['はたきおとす', 'トリックフラワー', 'トリプルアクセル', 'とんぼがえり', 'どくびし', 'ふいうち', 'トリック', 'けたぐり', 'やどりぎのタネ', 'ちょうはつ']","[93.7, 70.1, 51.6, 38.7, 31.1, 30.3, 17.7, 15.3, 13.1, 11.7]","['ようき', 'いじっぱり', 'おくびょう', 'むじゃき', 'しんちょう', 'せっかち', 'ひかえめ', 'わんぱく', 'やんちゃ', 'きまぐれ']","[69.2, 28.2, 0.4, 0.4, 0.3, 0.2, 0.2, 0.2, 0.1, 0.1]","['へんげんじざい', 'しんりょく']","[82.0, 18.0]","['きあいのタスキ', 'こだわりハチマキ', 'こだわりスカーフ', 'オボンのみ', 'いのちのたま', 'たべのこし', 'チイラのみ', 'とつげきチョッキ', 'たつじんのおび', 'こだわりメガネ']","[33.0, 31.2, 22.1, 6.4, 2.0, 1.1, 0.8, 0.6, 0.3, 0.3]","['あく', 'くさ', 'ゴースト', 'はがね', 'フェアリー', 'ステラ', 'ほのお', 'こおり', 'どく', 'いわ']","[45.3, 20.8, 9.9, 7.8, 6.2, 5.0, 1.7, 0.8, 0.6, 0.6]"
0445-000,6,445,0,ガブリアス,,ガブリアス,"['じしん', 'ステルスロック', 'げきりん', 'テラバースト', 'スケイルショット', 'つるぎのまい', 'まきびし', 'アイアンヘッド', 'ドラゴンテール', 'がんせきふうじ']","[97.8, 41.9, 37.5, 35.9, 35.6, 29.7, 28.5, 27.2, 21.1, 17.4]","['ようき', 'いじっぱり', 'わんぱく', 'しんちょう', 'むじゃき', 'やんちゃ', 'おくびょう', 'せっかち', 'ひかえめ', 'がんばりや']","[62.3, 26.9, 6.5, 2.5, 0.2, 0.2, 0.1, 0.1, 0.1, 0.1]","['さめはだ', 'すながくれ']","[98.2, 1.8]","['オボンのみ', 'こだわりハチマキ', 'いかさまダイス', 'こだわりスカーフ', 'きあいのタスキ', 'とつげきチョッキ', 'ゴツゴツメット', 'ラムのみ', 'いのちのたま', 'でんきだま']","[28.1, 25.4, 21.9, 6.4, 3.4, 3.1, 2.8, 2.5, 2.1, 0.7]","['フェアリー', 'はがね', 'ほのお', 'でんき', 'じめん', 'みず', 'ドラゴン', 'こおり', 'どく', 'ゴースト']","[39.1, 19.7, 18.7, 7.7, 6.8, 3.3, 2.8, 0.6, 0.6, 0.2]"
0730-000,7,730,0,アシレーヌ,,アシレーヌ,"['ムーンフォース', 'うたかたのアリア', 'アクアジェット', 'クイックターン', 'サイコノイズ', 'めいそう', 'アンコール', 'ほろびのうた', 'エナジーボール', 'みがわり']","[92.2, 82.2, 46.5, 41.7, 26.2, 15.8, 14.3, 12.1, 10.3, 8.9]","['ひかえめ', 'ずぶとい', 'れいせい', 'おくびょう', 'おだやか', 'のんき', 'おっとり', 'なまいき', 'せっかち', 'すなお']","[66.7, 12.6, 8.1, 4.1, 2.5, 2.5, 1.4, 0.6, 0.5, 0.2]","['げきりゅう', 'うるおいボイス']","[84.5, 15.5]","['とつげきチョッキ', 'たべのこし', 'こだわりメガネ', 'オボンのみ', 'きあいのタスキ', 'おんみつマント', 'こだわりスカーフ', 'ゴツゴツメット', 'ラムのみ', 'のどスプレー']","[42.3, 16.7, 15.6, 5.9, 5.7, 2.6, 2.4, 2.2, 1.3, 1.1]","['くさ', 'みず', 'はがね', 'どく', 'ほのお', 'じめん', 'フェアリー', 'ひこう', 'でんき', 'ステラ']","[21.6, 20.4, 13.5, 13.1, 10.8, 6.7, 5.4, 2.7, 1.7, 1.1]"
0903-000,8,903,0,オオニューラ,,オオニューラ,"['インファイト', 'フェイタルクロー', 'じごくづき', 'ねこだまし', 'つるぎのまい', 'とんぼがえり', 'シャドークロー', 'どくびし', 'テラバースト', 'アクロバット']","[95.4, 94.7, 49.4, 28.2, 24.3, 22.4, 21.6, 18.2, 10.0, 7.8]","['いじっぱり', 'ようき', 'しんちょう', 'やんちゃ', 'むじゃき', 'わんぱく', 'さみしがり', 'せっかち', 'きまぐれ', 'ゆうかん']","[63.0, 32.4, 1.6, 0.8, 0.6, 0.4, 0.4, 0.2, 0.2, 0.1]","['かるわざ', 'どくしゅ', 'プレッシャー']","[59.4, 40.1, 0.5]","['きあいのタスキ', 'オボンのみ', 'サイコシード', 'こだわりハチマキ', 'ノーマルジュエル', 'こだわりスカーフ', 'いのちのたま', 'ふうせん', 'だっしゅつパック', 'とつげきチョッキ']","[24.0, 19.2, 13.1, 12.5, 10.0, 5.4, 2.9, 2.2, 1.8, 1.6]","['あく', 'ゴースト', 'ステラ', 'ひこう', 'こおり', 'かくとう', 'ほのお', 'フェアリー', 'みず', 'どく']","[32.7, 17.7, 14.6, 10.7, 9.9, 5.4, 5.0, 1.3, 1.0, 0.7]"
0977-000,9,977,0,ヘイラッシャ,,ヘイラッシャ,"['あくび', 'まもる', 'ウェーブタックル', 'じわれ', 'ねむる', 'ゆきなだれ', 'のろい', 'じしん', 'ねごと', 'アクアブレイク']","[70.7, 69.0, 58.0, 46.4, 42.9, 39.9, 28.6, 12.4, 11.6, 9.3]","['わんぱく', 'しんちょう', 'いじっぱり', 'のんき', 'なまいき', 'ずぶとい', 'ゆうかん', 'おだやか', 'まじめ', 'すなお']","[78.9, 9.7, 5.8, 2.5, 0.8, 0.6, 0.4, 0.3, 0.2, 0.2]","['てんねん', 'どんかん', 'みずのベール']","[99.5, 0.4, 0.1]","['たべのこし', 'ゴツゴツメット', 'タラプのみ', 'とつげきチョッキ', 'オボンのみ', 'カゴのみ', 'おんみつマント', 'こだわりハチマキ', 'ラムのみ', 'あつぞこブーツ']","[78.4, 8.9, 3.6, 2.2, 2.2, 1.6, 1.1, 0.9, 0.4, 0.1]","['フェアリー', 'あく', 'はがね', 'くさ', 'ゴースト', 'じめん', 'でんき', 'どく', 'ほのお', 'みず']","[43.9, 16.7, 15.8, 7.3, 3.3, 2.3, 1.8, 1.7, 1.6, 1.4]"
0637-000,10,637,0,ウルガモス,,ウルガモス,"['ほのおのまい', 'ちょうのまい', 'あさのひざし', 'ギガドレイン', 'テラバースト', 'おにび', 'むしのさざめき', 'オーバーヒート', 'みがわり', 'ふきとばし']","[95.3, 79.4, 46.5, 45.1, 38.6, 29.0, 25.3, 18.5, 5.3, 3.5]","['おくびょう', 'ひかえめ', 'ずぶとい', 'おだやか', 'てれや', 'おっとり', 'がんばりや', 'きまぐれ', 'すなお', 'ようき']","[43.3, 31.5, 21.5, 1.7, 0.3, 0.2, 0.1, 0.1, 0.1, 0.1]","['ほのおのからだ', 'むしのしらせ']","[96.2, 3.8]","['あつぞこブーツ', 'こだわりメガネ', 'オボンのみ', 'ラムのみ', 'おんみつマント', 'たべのこし', 'こだわりスカーフ', 'アッキのみ', 'きあいのタスキ', 'とつげきチョッキ']","[53.4, 16.4, 5.8, 5.8, 4.5, 2.7, 2.6, 2.2, 1.3, 1.2]","['フェアリー', 'くさ', 'ほのお', 'みず', 'いわ', 'こおり', 'あく', 'むし', 'ゴースト', 'ひこう']","[45.7, 18.6, 10.9, 6.6, 6.0, 4.3, 1.7, 1.4, 0.8, 0.7]"
