,rank,id,form-id,name,form,alias,move,move-rate,ability,ability-rate,item,item-rate,terastal,terastal-rate
0149-000,1,149,0,カイリュー,,カイリュー,"['しんそく', 'はねやすめ', 'りゅうのまい', 'じしん', 'アンコール', 'げきりん', 'ほのおのパンチ', 'テラバースト', 'ほのおのうず', 'りゅうせいぐん']","[64.3, 60.9, 59.6, 56.0, 30.2, 26.9, 19.7, 18.7, 12.7, 10.8]","['マルチスケイル', 'せいしんりょく']","[99.1, 0.9]","['ゴツゴツメット', 'たべのこし', 'こだわりハチマキ', 'あつぞこブーツ', 'ラムのみ', 'じゃくてんほけん', 'するどいくちばし', 'シルクのスカーフ', 'いのちのたま', 'ちからのハチマキ']","[28.4, 17.8, 17.3, 13.2, 10.5, 3.4, 2.5, 1.7, 1.3, 0.4]","['ノーマル', 'ひこう', 'フェアリー', 'はがね', 'ほのお', 'ドラゴン', 'でんき', 'みず', 'じめん', 'こおり']","[55.0, 26.4, 10.1, 4.9, 1.4, 0.6, 0.4, 0.4, 0.3, 0.2]"
1000-000,2,1000,0,サーフゴー,,サーフゴー,"['ゴールドラッシュ', 'シャドーボール', 'トリック', 'じこさいせい', 'きあいだま', 'わるだくみ', 'でんじは', 'たたりめ', 'みがわり', 'マジカルシャイン']","[87.0, 83.8, 47.1, 41.3, 32.5, 31.8, 17.0, 13.7, 10.4, 8.6]",['おうごんのからだ'],[100.0],"['こだわりスカーフ', 'ゴツゴツメット', 'こだわりメガネ', 'おんみつマント', 'ふうせん', 'たべのこし', 'じゃくてんほけん', 'とつげきチョッキ', 'いのちのたま', 'きあいのタスキ']","[44.7, 12.9, 10.8, 10.6, 8.1, 4.4, 1.8, 1.6, 1.4, 1.0]","['ひこう', 'ノーマル', 'ゴースト', 'かくとう', 'はがね', 'あく', 'フェアリー', 'みず', 'こおり', 'でんき']","[39.9, 18.0, 15.7, 12.2, 7.7, 2.8, 2.1, 0.7, 0.3, 0.1]"
0445-000,3,445,0,ガブリアス,,ガブリアス,"['じしん', 'げきりん', 'アイアンヘッド', 'ステルスロック', 'テラバースト', 'つるぎのまい', 'ドラゴンテール', 'がんせきふうじ', 'ドラゴンクロー', 'まきびし']","[93.4, 62.7, 45.4, 38.1, 34.5, 22.4, 20.8, 14.9, 12.4, 12.2]","['さめはだ', 'すながくれ']","[96.4, 3.6]","['こだわりハチマキ', 'ラムのみ', 'オボンのみ', 'きあいのタスキ', 'ゴツゴツメット', 'こだわりスカーフ', 'いのちのたま', 'レッドカード', 'おんみつマント', 'とつげきチョッキ']","[27.0, 12.3, 11.4, 11.3, 9.5, 9.1, 5.3, 4.1, 2.4, 1.8]","['フェアリー', 'ほのお', 'じめん', 'はがね', 'みず', 'でんき', 'ドラゴン', 'どく', 'こおり', 'かくとう']","[30.9, 20.2, 19.5, 18.3, 3.3, 2.7, 1.7, 0.8, 0.8, 0.4]"
0983-000,4,983,0,ドドゲザン,,ドドゲザン,"['ドゲザン', 'ふいうち', 'アイアンヘッド', 'つるぎのまい', 'かわらわり', 'ハサミギロチン', 'けたぐり', 'テラバースト', 'ステルスロック', 'でんじは']","[95.6, 94.3, 91.7, 34.2, 25.9, 18.3, 13.4, 8.4, 4.6, 3.1]","['そうだいしょう', 'まけんき', 'プレッシャー']","[75.7, 21.9, 2.4]","['とつげきチョッキ', 'くろいメガネ', 'いのちのたま', 'たべのこし', 'ヨプのみ', 'きあいのタスキ', 'ラムのみ', 'メンタルハーブ', 'オボンのみ', 'こだわりハチマキ']","[43.4, 33.1, 4.0, 3.1, 2.9, 2.5, 2.4, 1.6, 1.4, 1.2]","['あく', 'フェアリー', 'ひこう', 'ゴースト', 'はがね', 'ほのお', 'みず', 'かくとう', 'くさ', 'ドラゴン']","[67.0, 12.9, 11.7, 1.8, 1.6, 1.1, 1.0, 0.9, 0.3, 0.3]"
0887-000,5,887,0,ドラパルト,,ドラパルト,"['ドラゴンアロー', 'シャドーボール', 'とんぼがえり', 'りゅうせいぐん', 'テラバースト', 'ふいうち', 'みがわり', 'だいもんじ', 'かえんほうしゃ', 'おにび']","[60.1, 40.2, 37.1, 33.1, 31.1, 22.3, 19.8, 19.0, 18.1, 17.3]","['すりぬけ', 'のろわれボディ', 'クリアボディ']","[76.2, 12.9, 10.9]","['いのちのたま', 'こだわりメガネ', 'こだわりハチマキ', 'ひかりのねんど', 'きあいのタスキ', 'たべのこし', 'こだわりスカーフ', 'だっしゅつパック', 'ラムのみ', 'とつげきチョッキ']","[34.5, 14.5, 13.8, 8.9, 7.9, 6.7, 5.0, 2.0, 1.1, 0.9]","['ドラゴン', 'ほのお', 'ゴースト', 'フェアリー', 'はがね', 'かくとう', 'ノーマル', 'でんき', 'みず', 'あく']","[29.6, 21.1, 14.2, 11.9, 10.4, 4.6, 2.4, 1.7, 1.1, 1.1]"
0635-000,6,635,0,サザンドラ,,サザンドラ,"['あくのはどう', 'ラスターカノン', 'りゅうせいぐん', 'だいもんじ', 'かえんほうしゃ', 'わるだくみ', 'みがわり', 'ちょうはつ', 'とんぼがえり', 'テラバースト']","[97.3, 76.1, 68.4, 35.3, 19.5, 18.7, 18.1, 15.7, 12.8, 10.5]",['ふゆう'],[100.0],"['こだわりメガネ', 'こだわりスカーフ', 'たべのこし', 'いのちのたま', 'きあいのタスキ', 'とつげきチョッキ', 'たつじんのおび', 'オボンのみ', 'メトロノーム', 'ラムのみ']","[36.8, 15.7, 13.3, 11.2, 5.4, 3.1, 2.7, 2.3, 2.0, 1.4]","['はがね', 'どく', 'ほのお', 'フェアリー', 'あく', 'でんき', 'ドラゴン', 'ゴースト', 'みず', 'かくとう']","[72.2, 9.2, 4.7, 4.0, 4.0, 2.7, 0.9, 0.8, 0.4, 0.2]"
0908-000,7,908,0,マスカーニャ,,マスカーニャ,"['トリックフラワー', 'はたきおとす', 'とんぼがえり', 'じゃれつく', 'ふいうち', 'けたぐり', 'トリック', 'ちょうはつ', 'テラバースト', 'かわらわり']","[94.1, 89.1, 54.8, 45.5, 31.8, 29.4, 14.3, 7.7, 7.3, 6.5]","['へんげんじざい', 'しんりょく']","[76.2, 23.8]","['きあいのタスキ', 'こだわりハチマキ', 'こだわりスカーフ', 'いのちのたま', 'とつげきチョッキ', 'チイラのみ', 'たつじんのおび', 'でんきだま', 'こだわりメガネ', 'ちからのハチマキ']","[33.1, 25.8, 25.2, 5.3, 2.8, 1.4, 1.0, 1.0, 0.8, 0.7]","['くさ', 'あく', 'こおり', 'フェアリー', 'ほのお', 'いわ', 'ゴースト', 'かくとう', 'みず', 'はがね']","[57.3, 17.6, 11.9, 5.5, 3.6, 1.0, 0.9, 0.6, 0.5, 0.4]"
0911-000,8,911,0,ラウドボーン,,ラウドボーン,"['フレアソング', 'なまける', 'おにび', 'たたりめ', 'シャドーボール', 'テラバースト', 'あくび', 'だいちのちから', 'うたう', 'みがわり']","[99.7, 83.5, 47.2, 38.5, 34.7, 23.6, 21.1, 14.3, 10.8, 8.9]","['てんねん', 'もうか']","[98.0, 2.0]","['たべのこし', 'からぶりほけん', 'オボンのみ', 'とつげきチョッキ', 'おんみつマント', 'ゴツゴツメット', 'ぼうじんゴーグル', 'のどスプレー', 'あつぞこブーツ', 'ふうせん']","[41.9, 12.5, 11.1, 8.4, 8.4, 4.8, 2.1, 1.9, 1.9, 1.4]","['フェアリー', 'ノーマル', 'ほのお', 'みず', 'くさ', 'あく', 'ひこう', 'かくとう', 'こおり', 'ドラゴン']","[38.6, 21.8, 18.4, 9.9, 5.1, 3.0, 1.5, 0.7, 0.3, 0.3]"
0998-000,9,998,0,セグレイブ,,セグレイブ,"['つららばり', 'じしん', 'こおりのつぶて', 'きょけんとつげき', 'りゅうのまい', 'テラバースト', 'つららおとし', 'アイアンヘッド', 'かわらわり', 'みがわり']","[88.2, 85.0, 79.0, 60.6, 47.8, 22.7, 5.9, 2.4, 1.7, 1.0]","['ねつこうかん', 'アイスボディ']","[98.8, 1.2]","['いかさまダイス', 'きあいのタスキ', 'とつげきチョッキ', 'こだわりハチマキ', 'いのちのたま', 'こだわりスカーフ', 'ラムのみ', 'とけないこおり', 'じゃくてんほけん', 'たべのこし']","[51.5, 17.7, 15.3, 6.2, 2.9, 1.6, 1.1, 0.8, 0.8, 0.7]","['じめん', 'でんき', 'こおり', 'ほのお', 'はがね', 'フェアリー', 'ドラゴン', 'みず', 'ゴースト', 'かくとう']","[40.8, 21.1, 15.8, 6.0, 5.5, 3.9, 2.3, 1.0, 0.8, 0.7]"
0479-002,10,479,2,ロトム,ウォッシュロトム,ウォッシュロトム,"['ハイドロポンプ', 'ボルトチェンジ', 'トリック', 'テラバースト', '１０まんボルト', 'ほうでん', 'おにび', 'シャドーボール', 'わるだくみ', 'あくのはどう']","[96.8, 90.5, 66.7, 51.9, 32.2, 23.6, 9.8, 5.8, 5.2, 4.0]",['ふゆう'],[100.0],"['こだわりメガネ', 'こだわりスカーフ', 'とつげきチョッキ', 'オボンのみ', 'たべのこし', 'おんみつマント', 'たつじんのおび', 'いのちのたま', 'ゴツゴツメット', 'ラムのみ']","[57.6, 18.4, 10.2, 5.9, 2.4, 0.9, 0.8, 0.6, 0.5, 0.4]","['フェアリー', 'でんき', 'こおり', 'ゴースト', 'はがね', 'ほのお', 'くさ', 'みず', 'かくとう', 'あく']","[74.4, 10.3, 3.4, 3.2, 2.3, 2.1, 0.9, 0.8, 0.8, 0.5]"
